20160803,78996,3,2,29895,6950,6493
20160803,78996,2,2,12577,2951,2790
20160803,78996,-2,2,2,2,2
20160803,78997,1,2,67877,13145,12735
20160803,78997,3,2,18730,6131,5830
20160803,78997,2,2,9192,2229,2154
20160803,78997,-2,2,14,4,4
20160803,78998,1,2,62,58,57
20160803,78998,3,2,7,7,7
20160803,78998,2,2,3,3,3
20160803,79000,3,2,446008,226154,110474
20160803,79000,2,2,174857,79904,46344
20160803,78998,-2,2,0,0,0
20160803,78999,1,2,2566,503,430
20160803,78999,3,2,1059,131,121
20160803,78999,2,2,149,81,76
20160803,78999,-2,2,1,1,1
20160803,79000,1,2,2768108,597822,315618
20160803,79000,-2,2,746,319,176
20160802,78992,1,2,726264,304014,213949
20160802,78992,3,2,672389,412024,326078
20160802,78992,2,2,183522,87466,68322
20160802,78992,-2,2,711,438,370
20160730,78996,3,2,41349,4613,4322
20160730,78996,2,2,15055,1879,1792
20160730,78996,-2,2,3,3,3
20160730,78997,1,2,47451,4425,4232
20160730,78997,3,2,52344,4253,3807
20160730,78997,2,2,18379,1930,1806
20160730,78997,-2,2,37,3,3
20160730,78998,1,2,46,46,46
20160730,78998,3,2,6,6,6
20160730,78998,2,2,4,4,4
20160730,78998,-2,2,0,0,0
20160730,78999,1,2,882,331,301
20160730,78999,3,2,1506,162,149
20160730,78999,2,2,371,93,87
20160730,78999,-2,2,3,1,1
20160730,79000,-2,2,751,424,270
20160730,79000,1,2,1686027,332734,181627
20160730,79000,3,2,409413,223160,110736
20160730,79000,2,2,173683,84132,48291
20160803,78992,1,2,922035,303542,213228
20160803,78992,3,2,841894,464866,365567
20160803,78992,2,2,217118,90409,70643
20160803,78992,-2,2,848,513,431
20160803,78993,1,2,166954,16390,15370
20160803,78993,3,2,60224,8854,8130
20160803,78993,2,2,25075,3415,3186
20160803,78993,-2,2,182,13,10
20160803,78994,1,2,28957,19194,18092
20160803,78994,-2,2,2,2,2
20160803,78994,3,2,3191,2142,1937
20160803,78994,2,2,3177,2052,1900
